"","carat","cut","color","clarity","depth_percent","table","price","length","width","depth"
"1",0.32,"Premium","E","I1",60.9,58,345,4.38,4.42,2.68
"2",1.17,"Very Good","J","I1",60.2,61,2774,6.83,6.9,4.13
"3",1.01,"Premium","F","I1",61.8,60,2781,6.39,6.36,3.94
"4",1.01,"Fair","E","I1",64.5,58,2788,6.29,6.21,4.03
"5",0.96,"Ideal","F","I1",60.7,55,2801,6.37,6.41,3.88
"6",1.04,"Premium","G","I1",62.2,58,2801,6.46,6.41,4
"7",1,"Fair","G","I1",66.4,59,2808,6.16,6.09,4.07
"8",1.2,"Fair","F","I1",64.6,56,2809,6.73,6.66,4.33
"9",0.43,"Very Good","E","I1",58.4,62,555,4.94,5,2.9
"10",1.02,"Premium","G","I1",60.3,58,2815,6.55,6.5,3.94
"11",1,"Premium","H","I1",61.3,60,2818,6.43,6.39,3.93
"12",1.17,"Premium","J","I1",60.2,61,2825,6.9,6.83,4.13
"13",0.96,"Ideal","F","I1",60.7,55,2826,6.41,6.37,3.88
"14",0.97,"Ideal","F","I1",60.7,56,2830,6.41,6.43,3.9
"15",1,"Premium","F","I1",58.9,60,2841,6.6,6.55,3.87
"16",1.01,"Ideal","I","I1",61.5,57,2844,6.45,6.46,3.97
"17",1.01,"Good","I","I1",63.1,57,2844,6.35,6.39,4.02
"18",1.01,"Good","H","I1",64.2,61,2846,6.25,6.18,3.99
"19",1.2,"Very Good","H","I1",63.1,60,2850,6.75,6.67,4.23
"20",1.12,"Premium","H","I1",59.1,61,2854,6.78,6.75,4
"21",0.97,"Ideal","F","I1",60.7,56,2856,6.43,6.41,3.9
"22",1.22,"Premium","E","I1",60.9,57,2862,6.93,6.88,4.21
"23",1.08,"Premium","D","I1",61.9,60,2869,6.55,6.48,4.03
"24",1.04,"Premium","I","I1",61.6,61,2870,6.47,6.45,3.98
"25",1.02,"Ideal","I","I1",61.7,56,2872,6.44,6.49,3.99
"26",1.05,"Premium","H","I1",62,59,2881,6.5,6.47,4.02
"27",1.19,"Fair","H","I1",65.1,59,2892,6.62,6.55,4.29
"28",1.01,"Very Good","I","I1",63.1,57,2896,6.39,6.35,4.02
"29",1.01,"Ideal","I","I1",61.5,57,2896,6.46,6.45,3.97
"30",1.02,"Ideal","I","I1",61.7,56,2925,6.49,6.44,3.99
"31",1.2,"Premium","I","I1",60.5,58,2925,6.9,6.79,4.14
"32",1.17,"Fair","I","I1",65.4,62,2935,6.68,6.57,4.33
"33",1.24,"Very Good","J","I1",61.9,55,2940,6.85,6.92,4.26
"34",1,"Good","H","I1",57.6,61,2940,6.67,6.6,3.82
"35",1.5,"Fair","H","I1",65.6,54,2964,7.26,7.09,4.7
"36",1.05,"Premium","E","I1",61.4,58,2964,6.53,6.46,3.99
"37",1.13,"Fair","H","I1",64.8,59,2968,6.52,6.42,4.19
"38",1,"Premium","G","I1",62.5,62,2984,6.42,6.35,3.99
"39",1.03,"Very Good","G","I1",63.2,58,2988,6.44,6.34,4.04
"40",1.24,"Premium","J","I1",61.9,55,2994,6.92,6.85,4.26
"41",1.02,"Fair","H","I1",61.5,60,2999,6.4,6.34,3.92
"42",1,"Very Good","G","I1",62.5,62,3011,6.42,6.35,3.99
"43",1.2,"Fair","J","I1",64.9,59,3011,6.61,6.54,4.27
"44",1.2,"Fair","I","I1",62.2,66,3011,6.77,6.7,4.2
"45",1.2,"Fair","I","I1",66.2,55,3011,6.61,6.51,4.34
"46",1.01,"Premium","G","I1",61.1,61,3014,6.49,6.35,3.92
"47",1.12,"Premium","G","I1",60.3,60,3017,6.75,6.69,4.05
"48",1.12,"Very Good","G","I1",61.2,63,3017,6.68,6.59,4.05
"49",1.03,"Very Good","G","I1",60.8,57,3018,6.51,6.55,3.97
"50",1.01,"Good","E","I1",63.8,57,3032,6.4,6.33,4.06
"51",1.02,"Good","E","I1",63.1,60,3051,6.31,6.4,4.01
"52",1.03,"Very Good","G","I1",62.4,57,3060,6.41,6.45,4.01
"53",1.03,"Premium","G","I1",60.8,57,3073,6.55,6.51,3.97
"54",1,"Very Good","E","I1",62.3,58,3080,6.33,6.38,3.96
"55",1,"Ideal","H","I1",61.3,57,3080,6.41,6.44,3.94
"56",1.2,"Premium","G","I1",60.3,58,3091,6.82,6.77,4.1
"57",1.29,"Good","I","I1",64.2,54,3098,6.93,6.83,4.42
"58",1.52,"Good","E","I1",57.3,58,3105,7.53,7.42,4.28
"59",1.01,"Good","H","I1",63.2,58,3110,6.33,6.39,4.02
"60",1.08,"Premium","H","I1",61.7,59,3118,6.54,6.59,4.05
"61",1.13,"Good","G","I1",63.4,58,3127,6.58,6.61,4.18
"62",1,"Premium","E","I1",62.3,58,3136,6.38,6.33,3.96
"63",1,"Ideal","H","I1",61.3,57,3136,6.44,6.41,3.94
"64",1.02,"Premium","H","I1",62.5,60,3141,6.39,6.41,4
"65",1.02,"Very Good","E","I1",60.6,63,3141,6.46,6.52,3.93
"66",1.21,"Good","E","I1",57.2,62,3144,7.01,6.95,3.99
"67",1.06,"Premium","F","I1",60.3,58,3158,6.59,6.56,3.96
"68",1.01,"Very Good","H","I1",63.2,58,3167,6.39,6.33,4.02
"69",1.08,"Ideal","F","I1",61.8,56,3168,6.64,6.62,4.1
"70",1.23,"Ideal","H","I1",61.6,55,3168,6.92,6.87,4.25
"71",1.03,"Ideal","H","I1",61.5,57,3172,6.48,6.52,4
"72",1.03,"Premium","H","I1",61.1,60,3172,6.46,6.51,3.96
"73",1.5,"Fair","H","I1",69.3,61,3175,6.99,6.81,4.78
"74",1.5,"Good","G","I1",57.4,62,3179,7.56,7.39,4.29
"75",1.11,"Premium","I","I1",61.8,59,3183,6.65,6.58,4.09
"76",1.02,"Very Good","E","I1",60.6,63,3199,6.52,6.46,3.93
"77",1.02,"Premium","H","I1",62.5,60,3199,6.41,6.39,4
"78",1.04,"Good","H","I1",63.9,58,3203,6.35,6.42,4.08
"79",1.04,"Very Good","H","I1",61.6,61,3203,6.45,6.47,3.98
"80",1.11,"Premium","H","I1",61,59,3205,6.61,6.67,4.05
"81",1.18,"Very Good","E","I1",59.9,63,3219,6.8,6.85,4.09
"82",1.03,"Ideal","H","I1",61.5,57,3230,6.52,6.48,4
"83",1.05,"Very Good","E","I1",62.2,61,3234,6.48,6.51,4.04
"84",1.04,"Good","H","I1",63.9,58,3261,6.42,6.35,4.08
"85",1.04,"Premium","H","I1",61.6,61,3261,6.47,6.45,3.98
"86",1.11,"Premium","H","I1",61,59,3263,6.67,6.61,4.05
"87",1.25,"Ideal","E","I1",60.9,56,3276,6.95,6.91,4.22
"88",1.18,"Very Good","E","I1",59.9,63,3278,6.85,6.8,4.09
"89",1.01,"Very Good","G","I1",62.4,59,3288,6.35,6.41,3.98
"90",1.05,"Premium","E","I1",62.2,61,3293,6.51,6.48,4.04
"91",1,"Very Good","E","I1",63,57,3300,6.32,6.35,3.99
"92",1.02,"Ideal","G","I1",61.5,56,3321,6.46,6.49,3.98
"93",1.27,"Ideal","I","I1",62.3,56,3328,6.91,6.86,4.29
"94",1,"Premium","F","I1",62.4,59,3344,6.34,6.38,3.97
"95",1.01,"Premium","G","I1",59.4,61,3348,6.51,6.45,3.85
"96",1.07,"Good","F","I1",64.3,59,3354,6.37,6.42,4.11
"97",1.28,"Ideal","H","I1",61.9,56,3355,6.95,6.91,4.29
"98",1,"Ideal","E","I1",63,57,3360,6.35,6.32,3.99
"99",1.13,"Ideal","F","I1",61.2,56,3366,6.76,6.71,4.12
"100",1.23,"Premium","F","I1",60.8,59,3375,6.96,6.91,4.22
"101",1.01,"Ideal","F","I1",62.2,54,3377,6.42,6.44,4
