"","carat","cut","color","clarity","depth_percent","table","price","length","width","depth"
"1",0.23,"Very Good","D","VS2",60.5,61,357,3.96,3.97,2.4
"2",0.23,"Very Good","D","VS1",61.9,58,402,3.92,3.96,2.44
"3",0.26,"Very Good","D","VS2",60.8,59,403,4.13,4.16,2.52
"4",0.26,"Good","D","VS2",65.2,56,403,3.99,4.02,2.61
"5",0.26,"Good","D","VS1",58.4,63,403,4.19,4.24,2.46
"6",0.22,"Premium","D","VS2",59.3,62,404,3.91,3.88,2.31
"7",0.3,"Premium","D","SI1",62.6,59,552,4.23,4.27,2.66
"8",0.3,"Ideal","D","SI1",62.5,57,552,4.29,4.32,2.69
"9",0.3,"Ideal","D","SI1",62.1,56,552,4.3,4.33,2.68
"10",0.24,"Very Good","D","VVS1",61.5,60,553,3.97,4,2.45
"11",0.26,"Very Good","D","VVS2",62.4,54,554,4.08,4.13,2.56
"12",0.26,"Very Good","D","VVS2",62.8,60,554,4.01,4.05,2.53
"13",0.26,"Very Good","D","VVS1",62.1,60,554,4.03,4.12,2.53
"14",0.75,"Very Good","D","SI1",63.2,56,2760,5.8,5.75,3.65
"15",0.71,"Ideal","D","SI2",62.3,56,2762,5.73,5.69,3.56
"16",0.61,"Very Good","D","VVS2",59.6,57,2763,5.56,5.58,3.32
"17",0.71,"Very Good","D","SI1",63.6,58,2764,5.64,5.68,3.6
"18",0.71,"Ideal","D","SI1",61.9,59,2764,5.69,5.72,3.53
"19",0.7,"Very Good","D","VS2",61.8,55,2767,5.68,5.72,3.52
"20",0.71,"Ideal","D","SI2",61.6,55,2767,5.74,5.76,3.54
"21",0.73,"Very Good","D","SI1",60.2,56,2768,5.83,5.87,3.52
"22",0.7,"Very Good","D","SI1",61.1,58,2768,5.66,5.73,3.48
"23",0.71,"Premium","D","SI2",61.7,59,2768,5.71,5.67,3.51
"24",0.71,"Premium","D","VS2",62.5,60,2770,5.65,5.61,3.52
"25",0.76,"Ideal","D","SI2",62.4,57,2770,5.78,5.83,3.62
"26",0.73,"Ideal","D","SI2",59.9,57,2770,5.92,5.89,3.54
"27",0.75,"Ideal","D","SI2",61.3,56,2773,5.85,5.89,3.6
"28",0.7,"Premium","D","VS2",58,62,2773,5.87,5.78,3.38
"29",0.7,"Very Good","D","VS1",62.7,58,2777,5.66,5.73,3.57
"30",0.53,"Very Good","D","VVS2",57.5,64,2782,5.34,5.37,3.08
"31",0.75,"Very Good","D","SI2",63.1,58,2782,5.78,5.73,3.63
"32",0.72,"Ideal","D","SI1",60.8,57,2782,5.76,5.75,3.5
"33",0.72,"Premium","D","SI1",62.7,59,2782,5.73,5.69,3.58
"34",0.7,"Premium","D","SI1",62.8,60,2782,5.68,5.66,3.56
"35",0.64,"Ideal","D","VS1",61.5,56,2787,5.54,5.55,3.41
"36",0.71,"Good","D","VS2",63.3,56,2788,5.64,5.68,3.58
"37",0.72,"Premium","D","SI2",62,60,2795,5.73,5.69,3.54
"38",0.71,"Premium","D","SI1",62.7,60,2797,5.67,5.71,3.57
"39",0.71,"Premium","D","SI1",61.3,58,2797,5.73,5.75,3.52
"40",0.71,"Premium","D","SI1",61.6,60,2797,5.74,5.69,3.52
"41",0.51,"Ideal","D","VVS1",61.7,56,2797,5.12,5.16,3.17
"42",0.78,"Ideal","D","SI1",61.9,57,2799,5.91,5.86,3.64
"43",0.91,"Ideal","D","SI2",62.2,57,2803,6.21,6.15,3.85
"44",0.7,"Very Good","D","SI1",62.3,58,2804,5.69,5.73,3.56
"45",0.7,"Ideal","D","SI1",61,59,2804,5.68,5.7,3.47
"46",0.72,"Ideal","D","SI1",62.2,56,2804,5.74,5.77,3.58
"47",0.72,"Ideal","D","SI1",61.5,54,2804,5.77,5.8,3.56
"48",0.73,"Very Good","D","SI1",63.1,57,2808,5.74,5.7,3.61
"49",0.81,"Premium","D","SI2",59.2,57,2809,6.15,6.05,3.61
"50",0.74,"Ideal","D","SI2",61.7,55,2810,5.81,5.85,3.6
"51",0.83,"Very Good","D","SI1",63.5,54,2811,5.98,5.95,3.79
"52",0.71,"Ideal","D","SI1",62.4,57,2812,5.69,5.72,3.56
"53",0.55,"Very Good","D","VVS1",61.5,56,2815,5.23,5.27,3.23
"54",0.71,"Good","D","VS1",63.4,55,2816,5.61,5.69,3.58
"55",0.73,"Premium","D","SI1",61.7,55,2821,5.84,5.82,3.6
"56",0.71,"Premium","D","SI1",62.7,60,2822,5.71,5.67,3.57
"57",0.71,"Premium","D","SI1",61.3,58,2822,5.75,5.73,3.52
"58",0.7,"Premium","D","SI1",60.2,60,2822,5.82,5.75,3.48
"59",0.7,"Ideal","D","SI1",60.7,56,2822,5.75,5.72,3.48
"60",0.71,"Ideal","D","SI1",60.2,56,2822,5.86,5.83,3.52
"61",0.7,"Ideal","D","SI1",59.7,58,2822,5.82,5.77,3.46
"62",0.7,"Ideal","D","SI1",62.5,57,2822,5.62,5.59,3.51
