"","carat","cut","color","clarity","depth_percent","table","price","length","width","depth"
"1",0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
"2",0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
"3",0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
"4",0.79,"Ideal","G","SI1",62.3,57,2898,5.9,5.85,3.66
"5",1.52,"Good","E","I1",57.3,58,3105,7.53,7.42,4.28
"6",1,"Fair","E","SI2",67,53,3136,6.19,6.13,4.13
"7",1,"Fair","F","SI2",65.1,55,3265,6.26,6.23,4.07
"8",0.9,"Very Good","I","VS2",58.4,62,3334,6.29,6.35,3.69
"9",1,"Ideal","E","SI2",62.9,56,3450,6.32,6.3,3.97
"10",1,"Fair","H","SI1",65.5,57,3511,6.26,6.21,4.08
"11",0.31,"Good","D","SI1",63.5,56,571,4.29,4.31,2.73
"12",1,"Ideal","I","SI2",58.8,55,3629,6.53,6.46,3.82
"13",1,"Premium","G","SI1",60.1,61,3634,6.44,6.4,3.86
"14",1.04,"Premium","I","SI2",62,57,3774,6.53,6.47,4.03
"15",1,"Premium","F","SI1",59.4,62,3881,6.55,6.52,3.88
"16",1,"Premium","H","SI2",61,57,4032,6.51,6.4,3.94
"17",0.33,"Ideal","E","SI1",62.5,55,579,4.42,4.45,2.77
"18",1.24,"Premium","E","SI2",60.8,57,4278,6.98,6.94,4.23
"19",1.09,"Premium","H","SI2",61.2,62,4395,6.63,6.58,4.04
"20",1.03,"Good","D","SI1",64.3,58,4441,6.31,6.28,4.05
"21",1.31,"Premium","H","SI2",61.7,59,4548,7.03,6.98,4.32
"22",1.06,"Ideal","I","SI1",61.2,56,4630,6.64,6.6,4.05
"23",1.22,"Premium","I","SI2",61.5,61,4735,6.89,6.83,4.22
"24",1.23,"Ideal","I","SI2",62.3,55,4773,6.85,6.82,4.26
"25",1.01,"Fair","F","VS2",64.8,56,4791,6.3,6.25,4.07
"26",1.1,"Premium","H","SI1",63,58,4916,6.6,6.55,4.14
"27",1.1,"Premium","E","SI2",59.1,60,4967,6.77,6.7,3.98
"28",1.23,"Ideal","J","VS2",61.8,56,4986,6.87,6.81,4.23
"29",1.5,"Good","H","SI2",64,61,5208,7.18,7.14,4.58
"30",1.21,"Premium","H","SI2",61.9,55,5218,6.84,6.79,4.22
"31",1.01,"Premium","H","VS1",61.2,61,5294,6.44,6.41,3.93
"32",1,"Very Good","D","SI1",63.1,56,5645,6.34,6.3,3.99
"33",1.2,"Premium","I","VS2",62.6,58,5699,6.77,6.72,4.22
"34",1.5,"Good","G","SI2",57.5,63,6006,7.53,7.49,4.32
"35",1.51,"Good","I","SI1",63.8,57,6046,7.21,7.18,4.59
"36",1.3,"Very Good","F","SI2",61.1,58,6149,6.98,7.02,4.28
"37",1.21,"Very Good","H","VS2",62.9,57,6189,6.75,6.8,4.26
"38",1.21,"Premium","D","SI2",62.5,57,6505,6.79,6.71,4.22
"39",1.5,"Fair","H","SI1",65,57,6838,7.1,7.06,4.6
"40",1.55,"Very Good","H","SI1",63.2,57,7066,7.35,7.31,4.64
"41",1.5,"Premium","F","SI2",58.5,60,7644,7.52,7.48,4.39
"42",1.51,"Ideal","G","SI1",61.6,56,8283,7.34,7.25,4.5
"43",1,"Premium","F","VVS2",60.6,54,8924,6.56,6.52,3.96
"44",0.31,"Ideal","H","VVS2",62.4,57,625,4.32,4.36,2.71
"45",1.5,"Good","I","VS1",57.2,62,9702,7.64,7.61,4.36
"46",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"47",2.01,"Fair","H","SI2",64.9,56,10184,7.88,7.81,5.09
"48",2.01,"Good","I","SI1",64.1,60,10184,7.92,7.88,5.06
"49",0.31,"Ideal","H","VS2",63,57,628,4.34,4.32,2.73
"50",2,"Good","G","SI2",64.3,60,10416,7.87,7.83,5.05
"51",2,"Premium","G","SI2",60.7,60,10833,8.13,8.07,4.92
"52",2.01,"Fair","G","SI2",65.9,57,10887,7.85,7.78,5.15
"53",1.51,"Premium","F","SI1",62.2,58,11374,7.32,7.27,4.54
"54",2.01,"Very Good","H","SI2",63.4,60,11780,7.97,7.89,5.03
"55",2.1,"Good","H","SI1",63.7,61,12121,8.1,8.07,5.15
"56",2.01,"Premium","I","SI2",62,56,12338,8.01,7.87,4.92
