"","cut","color","clarity","count"
"1","Fair","D","I1",4
"2","Fair","D","SI2",56
"3","Fair","D","SI1",58
"4","Fair","D","VS2",25
"5","Fair","D","VS1",5
"6","Fair","D","VVS2",9
"7","Fair","D","VVS1",3
"8","Fair","D","IF",3
"9","Fair","E","I1",9
"10","Fair","E","SI2",77
"11","Fair","E","SI1",65
"12","Fair","E","VS2",41
"13","Fair","E","VS1",14
"14","Fair","E","VVS2",13
"15","Fair","E","VVS1",3
"16","Fair","F","I1",35
"17","Fair","F","SI2",87
"18","Fair","F","SI1",83
"19","Fair","F","VS2",52
"20","Fair","F","VS1",33
"21","Fair","F","VVS2",10
"22","Fair","F","VVS1",5
"23","Fair","F","IF",4
"24","Fair","G","I1",53
"25","Fair","G","SI2",79
"26","Fair","G","SI1",69
"27","Fair","G","VS2",44
"28","Fair","G","VS1",44
"29","Fair","G","VVS2",17
"30","Fair","G","VVS1",3
"31","Fair","G","IF",2
"32","Fair","H","I1",52
"33","Fair","H","SI2",89
"34","Fair","H","SI1",73
"35","Fair","H","VS2",41
"36","Fair","H","VS1",32
"37","Fair","H","VVS2",11
"38","Fair","H","VVS1",1
"39","Fair","I","I1",34
"40","Fair","I","SI2",44
"41","Fair","I","SI1",30
"42","Fair","I","VS2",32
"43","Fair","I","VS1",25
"44","Fair","I","VVS2",8
"45","Fair","I","VVS1",1
"46","Fair","J","I1",23
"47","Fair","J","SI2",27
"48","Fair","J","SI1",28
"49","Fair","J","VS2",23
"50","Fair","J","VS1",16
"51","Fair","J","VVS2",1
"52","Fair","J","VVS1",1
"53","Good","D","I1",8
"54","Good","D","SI2",223
"55","Good","D","SI1",235
"56","Good","D","VS2",104
"57","Good","D","VS1",43
"58","Good","D","VVS2",25
"59","Good","D","VVS1",13
"60","Good","D","IF",9
"61","Good","E","I1",22
"62","Good","E","SI2",201
"63","Good","E","SI1",355
"64","Good","E","VS2",160
"65","Good","E","VS1",89
"66","Good","E","VVS2",52
"67","Good","E","VVS1",43
"68","Good","E","IF",9
"69","Good","F","I1",19
"70","Good","F","SI2",199
"71","Good","F","SI1",273
"72","Good","F","VS2",184
"73","Good","F","VS1",132
"74","Good","F","VVS2",50
"75","Good","F","VVS1",35
"76","Good","F","IF",15
"77","Good","G","I1",18
"78","Good","G","SI2",160
"79","Good","G","SI1",207
"80","Good","G","VS2",192
"81","Good","G","VS1",152
"82","Good","G","VVS2",75
"83","Good","G","VVS1",41
