"","carat","clarity","carat_clarity","mean_price","mean_table","mean_length","mean_width","mean_depth","mean_depth_percent","mean_volume","mean_price_per_volume"
"1",0.2,"SI2","0.2_SI2",345,62,3.79,3.75,2.27,60.2,32.26,10.69
"2",0.2,"VS2","0.2_VS2",367,59.09,3.79,3.75,2.31,61.18,32.83,11.18
"3",0.21,"SI1","0.21_SI1",326,61,3.89,3.84,2.31,59.8,34.51,9.45
"4",0.21,"SI2","0.21_SI2",394,56,3.84,3.82,2.37,61.9,34.77,11.33
"5",0.21,"VS2","0.21_VS2",386,58.43,3.88,3.84,2.33,60.41,34.72,11.12
"6",0.22,"SI1","0.22_SI1",406,60.5,3.89,3.84,2.36,61.05,35.25,11.52
"7",0.22,"VS2","0.22_VS2",381.67,60.33,3.9,3.85,2.4,62,36.04,10.59
"8",0.23,"IF","0.23_IF",497.71,57,3.94,3.98,2.44,61.51,38.26,13.01
"9",0.23,"SI1","0.23_SI1",367.67,54.33,3.95,3.98,2.45,61.77,38.52,9.54
"10",0.23,"SI2","0.23_SI2",387.5,56,3.91,3.92,2.44,62.5,37.4,10.36
"11",0.23,"VS1","0.23_VS1",422.81,57.84,3.95,3.97,2.42,61.25,37.95,11.14
"12",0.23,"VS2","0.23_VS2",433.33,57.36,3.94,3.96,2.44,61.74,38.07,11.38
"13",0.23,"VVS1","0.23_VVS1",507.86,58.27,3.95,3.98,2.43,61.34,38.2,13.29
"14",0.23,"VVS2","0.23_VVS2",507.68,58.28,3.95,3.97,2.43,61.42,38.11,13.32
"15",0.24,"IF","0.24_IF",566.5,56.44,3.99,4.02,2.47,61.66,39.62,14.3
"16",0.24,"SI1","0.24_SI1",445,56.83,4,4.03,2.48,61.7,39.98,11.13
"17",0.24,"VS1","0.24_VS1",428.68,57.46,3.98,4.01,2.46,61.68,39.26,10.92
"18",0.24,"VS2","0.24_VS2",422.03,57.38,3.99,4.01,2.48,61.97,39.68,10.64
"19",0.24,"VVS1","0.24_VVS1",541.89,57.8,3.99,4.02,2.46,61.36,39.46,13.73
"20",0.24,"VVS2","0.24_VVS2",525.9,57.51,3.99,4.02,2.47,61.63,39.62,13.27
"21",0.25,"IF","0.25_IF",599.83,56.75,4.05,4.08,2.51,61.74,41.48,14.46
"22",0.25,"SI1","0.25_SI1",404.86,54.86,4.06,4.1,2.52,61.87,41.95,9.65
"23",0.25,"SI2","0.25_SI2",1128.33,61.33,4.99,4.93,2.85,57.4,70.11,16.09
"24",0.25,"VS1","0.25_VS1",458.86,57.3,4.06,4.08,2.5,61.44,41.41,11.08
"25",0.25,"VS2","0.25_VS2",465.71,56.95,4.05,4.07,2.5,61.74,41.21,11.3
"26",0.25,"VVS1","0.25_VVS1",577.02,57.47,4.06,4.07,2.5,61.46,41.31,13.97
"27",0.25,"VVS2","0.25_VVS2",583.08,57.6,4.04,4.07,2.5,61.77,41.11,14.18
"28",0.26,"IF","0.26_IF",612.77,56.85,4.12,4.15,2.53,61.19,43.26,14.16
"29",0.26,"SI1","0.26_SI1",435.21,55.57,4.12,4.16,2.53,61.26,43.36,10.04
"30",0.26,"SI2","0.26_SI2",362,53,4.09,4.13,2.57,62.5,43.41,8.34
"31",0.26,"VS1","0.26_VS1",478.22,56.45,4.1,4.12,2.53,61.61,42.74,11.19
"32",0.26,"VS2","0.26_VS2",449.81,56.96,4.1,4.13,2.54,61.65,43.01,10.46
"33",0.26,"VVS1","0.26_VVS1",623.69,57.44,4.1,4.12,2.54,61.73,42.91,14.53
"34",0.26,"VVS2","0.26_VVS2",596.09,57.14,4.1,4.12,2.54,61.85,42.91,13.89
"35",0.27,"IF","0.27_IF",685.12,56.65,4.18,4.2,2.56,61.27,44.94,15.25
"36",0.27,"SI1","0.27_SI1",451,56,4.16,4.2,2.57,61.38,44.9,10.04
"37",0.27,"SI2","0.27_SI2",361,55,4.14,4.18,2.59,62.3,44.82,8.05
"38",0.27,"VS1","0.27_VS1",477.92,56.36,4.16,4.19,2.57,61.64,44.8,10.67
"39",0.27,"VS2","0.27_VS2",501.68,56.5,4.17,4.19,2.56,61.39,44.73,11.22
"40",0.27,"VVS1","0.27_VVS1",643.63,56.79,4.16,4.18,2.57,61.75,44.69,14.4
"41",0.27,"VVS2","0.27_VVS2",619.91,57.27,4.15,4.17,2.56,61.66,44.3,13.99
"42",0.28,"IF","0.28_IF",695.69,55.62,4.2,4.23,2.6,61.88,46.19,15.06
"43",0.28,"SI1","0.28_SI1",432.88,56,4.22,4.24,2.6,61.4,46.52,9.31
"44",0.28,"VS1","0.28_VS1",493.22,56.57,4.2,4.24,2.6,61.65,46.3,10.65
"45",0.28,"VS2","0.28_VS2",485.42,57.31,4.19,4.21,2.6,61.86,45.86,10.58
"46",0.28,"VVS1","0.28_VVS1",641.86,57.92,4.22,4.24,2.58,61.15,46.16,13.91
"47",0.28,"VVS2","0.28_VVS2",634.15,56.73,4.21,4.24,2.6,61.44,46.41,13.66
"48",0.29,"IF","0.29_IF",688.36,56.82,4.28,4.31,2.62,60.97,48.33,14.24
"49",0.29,"SI1","0.29_SI1",703,57.5,4.32,4.33,2.59,59.84,48.45,14.51
"50",0.29,"SI2","0.29_SI2",535,58.33,4.34,4.38,2.63,60.33,49.99,10.7
