Particulars,year,mean_population_yearwise_converted,mean_population_yearwise,difference
mean_population_yearwise_converted,1995,26969373.41981132,26969373.41981132,0
mean_population_yearwise_converted,1996,27341963.5,27341963.5,0
mean_population_yearwise_converted,1997,27707444.547169812,27707444.547169812,0
mean_population_yearwise_converted,1998,28067967.198113207,28067967.198113207,0
mean_population_yearwise_converted,1999,28426364.849056605,28426364.849056605,0
mean_population_yearwise_converted,2000,28784898.778301887,28784898.778301887,0
mean_population_yearwise_converted,2001,29144376.226415094,29144376.226415094,0
mean_population_yearwise_converted,2002,29370694.286384977,29370694.286384977,0
mean_population_yearwise_converted,2003,29731778.2629108,29731778.2629108,0
mean_population_yearwise_converted,2004,30095631.78403756,30095631.78403756,0
mean_population_yearwise_converted,2005,30320414.710280374,30320414.710280374,0
mean_population_yearwise_converted,2006,30689434.906542055,30689434.906542055,0
mean_population_yearwise_converted,2007,31062044.887850467,31062044.887850467,0
mean_population_yearwise_converted,2008,31437847.457943924,31437847.457943924,0
mean_population_yearwise_converted,2009,31816165.93457944,31816165.93457944,0
mean_population_yearwise_converted,2010,31898198.77314815,31898198.77314815,0
mean_population_yearwise_converted,2011,32127728.244239632,32127728.244239632,0
mean_population_yearwise_converted,2012,32505457.62672811,32505457.62672811,0
mean_population_yearwise_converted,2013,32883080.580645163,32883080.580645163,0
