country,mean_population_countrywise
Afghanistan,23960450.05263158
Albania,3235417
Algeria,33826305.15789474
American Samoa,56705.47368421053
Andorra,73484.84210526316
Angola,16275446.157894736
Anguilla,12199.684210526315
Antigua and Barbuda,80887.47368421052
Argentina,38252582.7368421
Armenia,3042757.210526316
Aruba,95443.05263157895
Australia,20491286.47368421
Austria,8203048.7894736845
Azerbaijan,8520391.736842105
Bahamas,324606.4210526316
Bahrain,897687.3157894737
Bangladesh,139811234.89473686
Barbados,272777.7368421053
Belarus,9762910.52631579
Belgium,10540811.736842105
Belize,266641.8947368421
Benin,8007848.7894736845
Bermuda,63679.57894736842
Bhutan,629123.052631579
Bolivia (Plurinational State of),9164744.05263158
"Bonaire, Saint Eustatius and Saba",18408.5
Bosnia and Herzegovina,3790313.8421052634
Botswana,1835124.7368421052
Brazil,182737417.10526314
British Virgin Islands,23145.052631578947
Brunei Darussalam,359177.5263157895
Bulgaria,7759477.157894737
Burkina Faso,13215021.894736841
Burundi,7772152.052631579
Cabo Verde,461313
Cambodia,13058117.421052631
Cameroon,17832445.736842107
Canada,32072810.47368421
Cayman Islands,46676.47368421053
Central African Republic,3917381.210526316
Chad,9725651.842105264
Chile,16119355.578947369
China,1311631260.7368422
"China, Hong Kong SAR",6833328.684210527
"China, Macao SAR",471459.94736842107
Colombia,42506050.7368421
Comoros,591238
Congo,3514312.6315789474
Cook Islands,19115.21052631579
Costa Rica,4218123.578947368
Croatia,4435330.2105263155
Cuba,11195908
Curaçao,153284
Cyprus,1008079
Czech Republic,10363987.421052631
Côte d'Ivoire,17200028.52631579
Democratic People's Republic of Korea,23506814.157894738
Democratic Republic of the Congo,53347893.05263158
Denmark,5416571.52631579
Djibouti,766806.5789473684
Dominica,70692.36842105263
Dominican Republic,9203527.210526315
Ecuador,13524743.94736842
Egypt,70986690.15789473
El Salvador,6052926.684210527
Equatorial Guinea,590634.4210526316
Eritrea,4712787.052631579
Estonia,1341297.894736842
Ethiopia,74610354.05263157
Fiji,826640.052631579
Finland,5250516.894736842
France,60976227.631578945
French Polynesia,249174.8947368421
Gabon,1358653.5263157894
Gambia,1415499.4736842106
Georgia,4599782.736842105
Germany,83399570.4736842
Ghana,21047758.63157895
Greece,11001312.315789474
Greenland,56476.68421052631
Grenada,102877.1052631579
Guam,156604.26315789475
Guatemala,12494177.368421054
Guinea,9585377.736842105
Guinea-Bissau,1401206.8421052631
Guyana,760543.7894736842
Haiti,9102732.684210526
Honduras,6793744.052631579
Hungary,10138737.368421054
Iceland,295824.63157894736
India,1107631074.4736843
Indonesia,221667750.89473686
